"siteID","date","Year","Month","Tmin","Tmax","Tavg","P"
"Pitilla","1962-03-01",1962,3,18,27,22.5,129.100006103516
"Rancho Harold","1962-03-01",1962,3,19,28,23.5,17.7000007629395
"Rincon 1000","1962-03-01",1962,3,18,28,23,23.1000003814697
"Rincon 1200","1962-03-01",1962,3,14,24,19,50.5999984741211
"Bosque Humedo","1962-04-01",1962,4,22,32,27,26.2999992370605
"Cacao Arenales","1962-04-01",1962,4,18,28,23,34.9000015258789
"Cacao Sendero Circular","1962-04-01",1962,4,18,28,23,34.9000015258789
"Gongora","1962-04-01",1962,4,19,29,24,36.7999992370605
"Maritza","1962-04-01",1962,4,18,28,23,34.9000015258789
"Naranjo Carbonal","1962-04-01",1962,4,23,33,28,29.3999996185303
"Pitilla","1962-04-01",1962,4,18,27,22.5,35.9000015258789
"Rancho Harold","1962-04-01",1962,4,19,29,24,36.7999992370605
"Rincon 1000","1962-04-01",1962,4,18,28,23,37.2000007629395
"Rincon 1200","1962-04-01",1962,4,15,24,19.5,34.5
"Bosque Humedo","1962-05-01",1962,5,21,30,25.5,195.699996948242
"Cacao Arenales","1962-05-01",1962,5,18,26,22,212.199996948242
"Cacao Sendero Circular","1962-05-01",1962,5,18,26,22,212.199996948242
"Gongora","1962-05-01",1962,5,19,27,23,215.600006103516
"Maritza","1962-05-01",1962,5,18,26,22,212.199996948242
"Naranjo Carbonal","1962-05-01",1962,5,22,31,26.5,190.399993896484
"Pitilla","1962-05-01",1962,5,18,26,22,203.399993896484
"Rancho Harold","1962-05-01",1962,5,19,27,23,215.600006103516
"Rincon 1000","1962-05-01",1962,5,18,26,22,215.699996948242
"Rincon 1200","1962-05-01",1962,5,14,23,18.5,217.699996948242
"Bosque Humedo","1962-06-01",1962,6,21,29,25,429.100006103516
"Cacao Arenales","1962-06-01",1962,6,18,25,21.5,465.100006103516
"Cacao Sendero Circular","1962-06-01",1962,6,18,25,21.5,465.100006103516
"Gongora","1962-06-01",1962,6,19,26,22.5,449.700012207031
"Maritza","1962-06-01",1962,6,18,25,21.5,465.100006103516
"Naranjo Carbonal","1962-06-01",1962,6,22,29,25.5,426.399993896484
"Pitilla","1962-06-01",1962,6,18,25,21.5,459.100006103516
"Rancho Harold","1962-06-01",1962,6,19,26,22.5,449.700012207031
"Rincon 1000","1962-06-01",1962,6,18,25,21.5,457.5
"Rincon 1200","1962-06-01",1962,6,14,22,18,470.200012207031
"Bosque Humedo","1962-07-01",1962,7,21,29,25,139.800003051758
"Cacao Arenales","1962-07-01",1962,7,18,25,21.5,214.899993896484
"Cacao Sendero Circular","1962-07-01",1962,7,18,25,21.5,214.899993896484
"Gongora","1962-07-01",1962,7,19,26,22.5,165.199996948242
"Maritza","1962-07-01",1962,7,18,25,21.5,214.899993896484
"Naranjo Carbonal","1962-07-01",1962,7,22,30,26,107.800003051758
"Pitilla","1962-07-01",1962,7,18,25,21.5,282.799987792969
"Rancho Harold","1962-07-01",1962,7,19,26,22.5,165.199996948242
"Rincon 1000","1962-07-01",1962,7,18,26,22,181
"Rincon 1200","1962-07-01",1962,7,15,22,18.5,191.699996948242
"Bosque Humedo","1962-08-01",1962,8,21,29,25,217
"Cacao Arenales","1962-08-01",1962,8,18,26,22,300.299987792969
"Cacao Sendero Circular","1962-08-01",1962,8,18,26,22,300.299987792969
"Gongora","1962-08-01",1962,8,19,27,23,272.200012207031
"Maritza","1962-08-01",1962,8,18,26,22,300.299987792969
"Naranjo Carbonal","1962-08-01",1962,8,22,30,26,220.100006103516
"Pitilla","1962-08-01",1962,8,18,26,22,359.200012207031
"Rancho Harold","1962-08-01",1962,8,19,27,23,272.200012207031
"Rincon 1000","1962-08-01",1962,8,18,26,22,313.200012207031
"Rincon 1200","1962-08-01",1962,8,15,23,19,329.899993896484
"Bosque Humedo","1962-09-01",1962,9,21,29,25,264.399993896484
"Cacao Arenales","1962-09-01",1962,9,18,26,22,291.700012207031
"Cacao Sendero Circular","1962-09-01",1962,9,18,26,22,291.700012207031
"Gongora","1962-09-01",1962,9,19,27,23,274.799987792969
"Maritza","1962-09-01",1962,9,18,26,22,291.700012207031
"Naranjo Carbonal","1962-09-01",1962,9,22,30,26,265.799987792969
"Pitilla","1962-09-01",1962,9,18,26,22,285.200012207031
"Rancho Harold","1962-09-01",1962,9,19,27,23,274.799987792969
"Rincon 1000","1962-09-01",1962,9,18,26,22,286.100006103516
"Rincon 1200","1962-09-01",1962,9,14,23,18.5,308.5
"Bosque Humedo","1962-10-01",1962,10,21,28,24.5,344.700012207031
"Cacao Arenales","1962-10-01",1962,10,17,25,21,374.799987792969
"Cacao Sendero Circular","1962-10-01",1962,10,17,25,21,374.799987792969
"Gongora","1962-10-01",1962,10,18,26,22,358.600006103516
"Maritza","1962-10-01",1962,10,17,25,21,374.799987792969
"Naranjo Carbonal","1962-10-01",1962,10,21,29,25,376.799987792969
"Pitilla","1962-10-01",1962,10,17,25,21,376.799987792969
"Rancho Harold","1962-10-01",1962,10,18,26,22,358.600006103516
"Rincon 1000","1962-10-01",1962,10,17,25,21,401.299987792969
"Rincon 1200","1962-10-01",1962,10,14,22,18,403.799987792969
"Bosque Humedo","1962-11-01",1962,11,21,29,25,71.8000030517578
"Cacao Arenales","1962-11-01",1962,11,17,25,21,132.800003051758
"Cacao Sendero Circular","1962-11-01",1962,11,17,25,21,132.800003051758
"Gongora","1962-11-01",1962,11,18,26,22,111.5
"Maritza","1962-11-01",1962,11,17,25,21,132.800003051758
"Naranjo Carbonal","1962-11-01",1962,11,21,29,25,48.9000015258789
"Pitilla","1962-11-01",1962,11,17,24,20.5,211.699996948242
"Rancho Harold","1962-11-01",1962,11,18,26,22,111.5
"Rincon 1000","1962-11-01",1962,11,17,25,21,111.800003051758
"Rincon 1200","1962-11-01",1962,11,14,21,17.5,122.699996948242
"Bosque Humedo","1962-12-01",1962,12,20,29,24.5,17.3999996185303
"Cacao Arenales","1962-12-01",1962,12,17,25,21,109.900001525879
"Cacao Sendero Circular","1962-12-01",1962,12,17,25,21,109.900001525879
"Gongora","1962-12-01",1962,12,18,26,22,67.9000015258789
"Maritza","1962-12-01",1962,12,17,25,21,109.900001525879
"Naranjo Carbonal","1962-12-01",1962,12,21,30,25.5,9.5
"Pitilla","1962-12-01",1962,12,17,25,21,253.300003051758
